org_id,order_id,unit_id,ordered_sku,ordered_asin,quantity,fulfilment_route,ordered_at
org_demo_bravo,ORD-DUMMY-50003,UNIT-0003,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-10T15:54:00Z
org_demo_bravo,ORD-DUMMY-50009,UNIT-0009,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-06-24T23:36:00Z
org_demo_alpha,ORD-DUMMY-50014,UNIT-0014,SKU-LAMP-LED,B0DUMMY357,1,fba,2026-07-18T07:36:00Z
org_demo_alpha,ORD-DUMMY-50016,UNIT-0016,SKU-TOWEL-BLU,B0DUMMY600,1,fba,2026-06-25T07:31:00Z
org_demo_bravo,ORD-DUMMY-50018,UNIT-0018,SKU-BOTTLE-750,B0DUMMY622,1,fba,2026-07-18T04:44:00Z
org_demo_bravo,ORD-DUMMY-50021,UNIT-0021,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-31T01:24:00Z
org_demo_alpha,ORD-DUMMY-50023,UNIT-0023,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-07T11:55:00Z
org_demo_bravo,ORD-DUMMY-50027,UNIT-0027,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-10T21:17:00Z
org_demo_bravo,ORD-DUMMY-50030,UNIT-0030,SKU-SERUM-30,B0DUMMY031,1,fba,2026-07-01T10:35:00Z
org_demo_bravo,ORD-DUMMY-50036,UNIT-0036,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-14T04:15:00Z
org_demo_alpha,ORD-DUMMY-50038,UNIT-0038,SKU-PROT-1KG,B0DUMMY357,1,fba,2026-07-19T11:20:00Z
org_demo_bravo,ORD-DUMMY-50039,UNIT-0039,SKU-SERUM-30,B0DUMMY031,1,fba,2026-07-08T16:55:00Z
org_demo_alpha,ORD-DUMMY-50041,UNIT-0041,SKU-LEASH-6FT,B0DUMMY205,1,fba,2026-07-08T09:35:00Z
org_demo_alpha,ORD-DUMMY-50043,UNIT-0043,SKU-LAMP-LED,B0DUMMY357,1,fba,2026-06-27T08:31:00Z
org_demo_bravo,ORD-DUMMY-50048,UNIT-0048,SKU-CANDLE-3,B0DUMMY964,1,fba,2026-06-24T08:02:00Z
org_demo_alpha,ORD-DUMMY-50050,UNIT-0050,SKU-PUZZLE-500,B0DUMMY729,1,fba,2026-07-13T22:07:00Z
org_demo_bravo,ORD-DUMMY-50054,UNIT-0054,SKU-MUG-11,B0DUMMY351,1,fba,2026-07-06T21:45:00Z
org_demo_alpha,ORD-DUMMY-50064,UNIT-0064,SKU-BOTTLE-750,B0DUMMY622,1,fba,2026-06-29T14:33:00Z
org_demo_alpha,ORD-DUMMY-50067,UNIT-0067,SKU-CABLE-USBC,B0DUMMY261,1,fba,2026-07-09T00:33:00Z
org_demo_bravo,ORD-DUMMY-50081,UNIT-0081,SKU-PROT-1KG,B0DUMMY357,1,fba,2026-06-21T23:50:00Z
org_demo_alpha,ORD-DUMMY-50092,UNIT-0092,SKU-SERUM-30,B0DUMMY031,1,fba,2026-06-20T12:15:00Z
org_demo_bravo,ORD-DUMMY-50093,UNIT-0093,SKU-CANDLE-3,B0DUMMY964,1,fba,2026-06-27T19:01:00Z
org_demo_alpha,ORD-DUMMY-50097,UNIT-0097,SKU-PROT-1KG,B0DUMMY357,1,fba,2026-07-03T22:04:00Z
org_demo_bravo,ORD-DUMMY-50099,UNIT-0099,SKU-TOWEL-BLU,B0DUMMY600,1,fba,2026-06-29T08:06:00Z
